"condor_memb","name","entity","tissue_type"
3,"MZF1","gene","ADIPOSE_TISSUE"
3,"NAA30","gene","ADIPOSE_TISSUE"
2,"NAALADL2","gene","ADIPOSE_TISSUE"
1,"NAP1L2","gene","ADIPOSE_TISSUE"
3,"NBR1","gene","ADIPOSE_TISSUE"
3,"NCOA5","gene","ADIPOSE_TISSUE"
1,"ND6","gene","ADIPOSE_TISSUE"
3,"NDFIP2","gene","ADIPOSE_TISSUE"
1,"NDUFAB1","gene","ADIPOSE_TISSUE"
1,"NDUFS5","gene","ADIPOSE_TISSUE"
3,"NEURL4","gene","ADIPOSE_TISSUE"
1,"NME1","gene","ADIPOSE_TISSUE"
3,"NOL6","gene","ADIPOSE_TISSUE"
1,"NRAP","gene","ADIPOSE_TISSUE"
3,"NSUN5","gene","ADIPOSE_TISSUE"
2,"NSUN6","gene","ADIPOSE_TISSUE"
3,"NUDT9","gene","ADIPOSE_TISSUE"
3,"PAF1","gene","ADIPOSE_TISSUE"
3,"PARG","gene","ADIPOSE_TISSUE"
3,"PARP1","gene","ADIPOSE_TISSUE"
3,"PBRM1","gene","ADIPOSE_TISSUE"
3,"PCNX4","gene","ADIPOSE_TISSUE"
2,"PDE4D","gene","ADIPOSE_TISSUE"
3,"PDPR","gene","ADIPOSE_TISSUE"
3,"PDSS2","gene","ADIPOSE_TISSUE"
3,"PHAF1","gene","ADIPOSE_TISSUE"
3,"PHF6","gene","ADIPOSE_TISSUE"
2,"PHF8","gene","ADIPOSE_TISSUE"
3,"PHKB","gene","ADIPOSE_TISSUE"
3,"PIGK","gene","ADIPOSE_TISSUE"
3,"PKN2","gene","ADIPOSE_TISSUE"
3,"PPP5C","gene","ADIPOSE_TISSUE"
3,"PSMB6","gene","ADIPOSE_TISSUE"
1,"PSMD8","gene","ADIPOSE_TISSUE"
3,"RAD52","gene","ADIPOSE_TISSUE"
2,"RALGAPA1","gene","ADIPOSE_TISSUE"
3,"RBM33","gene","ADIPOSE_TISSUE"
2,"RIOK2","gene","ADIPOSE_TISSUE"
2,"RNF111","gene","ADIPOSE_TISSUE"
3,"RNF139","gene","ADIPOSE_TISSUE"
3,"RPS12","gene","ADIPOSE_TISSUE"
3,"RPS16","gene","ADIPOSE_TISSUE"
3,"RPS6KL1","gene","ADIPOSE_TISSUE"
1,"RUNX1","gene","ADIPOSE_TISSUE"
3,"SARS2","gene","ADIPOSE_TISSUE"
3,"SELENOF","gene","ADIPOSE_TISSUE"
2,"SENP8","gene","ADIPOSE_TISSUE"
3,"SETBP1","gene","ADIPOSE_TISSUE"
3,"SET","gene","ADIPOSE_TISSUE"
3,"SFR1","gene","ADIPOSE_TISSUE"
1,"SLC31A1","gene","ADIPOSE_TISSUE"
3,"SUPT5H","gene","ADIPOSE_TISSUE"
1,"TAF13","gene","ADIPOSE_TISSUE"
3,"TAF1A","gene","ADIPOSE_TISSUE"
3,"TAF5","gene","ADIPOSE_TISSUE"
3,"TAFAZZIN","gene","ADIPOSE_TISSUE"
3,"TBC1D23","gene","ADIPOSE_TISSUE"
3,"TBC1D8","gene","ADIPOSE_TISSUE"
3,"TCEA1","gene","ADIPOSE_TISSUE"
2,"TCF4","gene","ADIPOSE_TISSUE"
3,"TGDS","gene","ADIPOSE_TISSUE"
1,"TIMM23","gene","ADIPOSE_TISSUE"
3,"TMEM177","gene","ADIPOSE_TISSUE"
2,"TMTC3","gene","ADIPOSE_TISSUE"
3,"TOMM7","gene","ADIPOSE_TISSUE"
3,"TRAPPC5","gene","ADIPOSE_TISSUE"
3,"TREX1","gene","ADIPOSE_TISSUE"
3,"TSEN2","gene","ADIPOSE_TISSUE"
2,"TTC23","gene","ADIPOSE_TISSUE"
3,"TTI2","gene","ADIPOSE_TISSUE"
3,"TUBE1","gene","ADIPOSE_TISSUE"
3,"TXNL1","gene","ADIPOSE_TISSUE"
3,"UBR1","gene","ADIPOSE_TISSUE"
2,"USP31","gene","ADIPOSE_TISSUE"
2,"USP48","gene","ADIPOSE_TISSUE"
3,"UTP14A","gene","ADIPOSE_TISSUE"
3,"UTP25","gene","ADIPOSE_TISSUE"
3,"VAMP8","gene","ADIPOSE_TISSUE"
3,"WDR7","gene","ADIPOSE_TISSUE"
3,"ZC3H10","gene","ADIPOSE_TISSUE"
3,"ZC3H15","gene","ADIPOSE_TISSUE"
2,"ZEB1","gene","ADIPOSE_TISSUE"
3,"ZMAT2","gene","ADIPOSE_TISSUE"
3,"ZNF330","gene","ADIPOSE_TISSUE"
3,"ZNHIT6","gene","ADIPOSE_TISSUE"
3,"ZZEF1","gene","ADIPOSE_TISSUE"
1,"APEX1","TF","ADIPOSE_TISSUE"
3,"BCL11A","TF","ADIPOSE_TISSUE"
3,"BRCA1","TF","ADIPOSE_TISSUE"
2,"CEBPB","TF","ADIPOSE_TISSUE"
1,"E4F1","TF","ADIPOSE_TISSUE"
1,"EED","TF","ADIPOSE_TISSUE"
1,"HAX1","TF","ADIPOSE_TISSUE"
2,"HMGA1","TF","ADIPOSE_TISSUE"
1,"HOXA10","TF","ADIPOSE_TISSUE"
2,"HOXA9","TF","ADIPOSE_TISSUE"
1,"MED1","TF","ADIPOSE_TISSUE"
2,"MEF2C","TF","ADIPOSE_TISSUE"
3,"MLL","TF","ADIPOSE_TISSUE"
3,"MYB","TF","ADIPOSE_TISSUE"
3,"MYC","TF","ADIPOSE_TISSUE"
3,"MZF1","TF","ADIPOSE_TISSUE"
1,"PARP1","TF","ADIPOSE_TISSUE"
1,"PBRM1","TF","ADIPOSE_TISSUE"
1,"PHF8","TF","ADIPOSE_TISSUE"
2,"RUNX1","TF","ADIPOSE_TISSUE"
1,"SETBP1","TF","ADIPOSE_TISSUE"
1,"TAF5","TF","ADIPOSE_TISSUE"
3,"TCF4","TF","ADIPOSE_TISSUE"
3,"ZEB1","TF","ADIPOSE_TISSUE"
2,"AASDH","gene","ADRENAL_GLAND"
2,"ABCC10","gene","ADRENAL_GLAND"
2,"ABT1","gene","ADRENAL_GLAND"
3,"AFF1","gene","ADRENAL_GLAND"
2,"ANAPC7","gene","ADRENAL_GLAND"
