"","x"
"A1BG-AS1_B",3
"A1BG_B",3
"A1CF_B",1
"A2M-AS1_B",3
"A2ML1_B",2
"A2M_B",2
"A3GALT2_B",3
"A4GALT_B",3
"A4GNT_B",1
"AA06_B",1
"AAAS_B",3
"AACS_B",3
"AADACL2_B",2
"AADACL3_B",2
"AADACL4_B",2
"AADAC_B",1
"AADAT_B",2
"AAGAB_B",3
"AAK1_B",3
"AAMDC_B",2
"AAMP_B",3
"AANAT_B",3
"AAR2_B",3
"AARD_B",3
"AARS2_B",3
"AARSD1_B",3
"AASDHPPT_B",3
"AASDH_B",2
"AASS_B",1
"AATBC_B",3
"AATF_B",3
"AATK_B",3
"ABALON_B",3
"ABAT_B",2
"ABCA10_B",2
"ABCA11P_B",3
"ABCA12_B",2
"ABCA13_B",2
"ABCA17P_B",3
"ABCA1_B",2
"ABCA2_B",3
"ABCA3_B",3
"ABCA4_B",2
"ABCA5_B",3
"ABCA6_B",2
"ABCA7_B",3
"ABCA8_B",2
"ABCA9-AS1_B",3
"ABCA9_B",2
"ABCB10_B",3
"ABCB11_B",2
"ABCB1_B",2
"ABCB4_B",2
"ABCB5_B",2
"ABCB6_B",3
"ABCB7_B",2
"ABCB8_B",3
"ABCB9_B",3
"ABCC10_B",3
"ABCC11_B",2
"ABCC12_B",3
"ABCC1_B",3
"ABCC2_B",2
"ABCC3_B",2
"ABCC4_B",3
"ABCC5-AS1_B",1
"ABCC5_B",3
"ABCC6_B",2
"ABCC8_B",2
"ABCC9_B",2
"ABCD1_B",3
"ABCD2_B",2
"ABCD3_B",2
"ABCD4_B",3
"ABCE1_B",3
"ABCF1_B",3
"ABCF2_B",3
"ABCF3_B",3
"ABCG1_B",2
"ABCG2_B",3
"ABCG4_B",3
"ABCG5_B",3
"ABCG8_B",3
"ABHD10_B",3
"ABHD11_B",3
"ABHD12B_B",3
"ABHD12_B",3
"ABHD13_B",3
"ABHD14B_B",3
"ABHD15_B",3
"ABHD16A_B",3
"ABHD16B_B",3
"ABHD17A_B",3
"ABHD17B_B",3
"ABHD17C_B",3
"ABHD18_B",2
"ABHD1_B",3
"ABHD2_B",3
"ABHD3_B",2
"ABHD4_B",3
"ABHD5_B",3
"ABHD6_B",3
"ABHD8_B",3
"ABI1_B",3
"ABI2_B",3
"ABI3BP_B",2
"ABI3_B",3
"ABL1_B",3
"ABL2_B",3
"ABLIM1_B",2
"ABLIM2_B",3
"ABLIM3_B",3
"ABO_B",3
"ABRACL_B",3
"ABRA_B",2
"ABR_B",3
"ABT1_B",2
"ABTB1_B",3
"ABTB2_B",3
"ACAA1_B",3
"ACAA2_B",3
"ACACA_B",3
"ACACB_B",2
"ACAD10_B",3
"ACAD11_B",3
"ACAD8_B",3
"ACAD9_B",3
"ACADL_B",1
"ACADM_B",3
"ACADSB_B",3
"ACADS_B",3
"ACADVL_B",3
"ACAN_B",3
"ACAP1_B",3
"ACAP2_B",3
"ACAP3_B",3
"ACAT1_B",3
"ACAT2_B",3
"ACBD3_B",3
"ACBD4_B",3
"ACBD5_B",3
"ACBD6_B",3
"ACBD7_B",3
"ACCSL_B",2
"ACCS_B",3
"ACD_B",3
"ACE2_B",2
"ACER1_B",3
"ACER2_B",2
"ACER3_B",2
"ACE_B",3
"ACHE_B",3
"ACIN1_B",3
"ACKR1_B",2
"ACKR2_B",2
"ACKR3_B",2
"ACKR4_B",2
"ACLY_B",3
"ACMSD_B",2
"ACO1_B",3
"ACO2_B",3
"ACOD1_B",1
"ACOT11_B",3
"ACOT12_B",3
"ACOT13_B",3
"ACOT1_B",2
"ACOT2_B",2
"ACOT4_B",3
"ACOT6_B",2
"ACOT7_B",3
"ACOT8_B",3
