"","x"
"A1BG-AS1_B",2
"A1BG_B",2
"A1CF_B",1
"A2M-AS1_B",2
"A2ML1_B",3
"A2M_B",2
"A3GALT2_B",1
"A4GALT_B",2
"A4GNT_B",3
"AA06_B",1
"AAAS_B",2
"AACS_B",2
"AADACL2_B",1
"AADACL3_B",1
"AADACL4_B",1
"AADAC_B",3
"AADAT_B",3
"AAGAB_B",2
"AAK1_B",2
"AAMDC_B",3
"AAMP_B",2
"AANAT_B",2
"AAR2_B",2
"AARD_B",2
"AARS2_B",2
"AARSD1_B",2
"AASDHPPT_B",2
"AASDH_B",2
"AASS_B",2
"AATBC_B",2
"AATF_B",2
"AATK_B",2
"ABALON_B",2
"ABAT_B",2
"ABCA10_B",3
"ABCA11P_B",2
"ABCA12_B",1
"ABCA13_B",3
"ABCA17P_B",2
"ABCA1_B",3
"ABCA2_B",2
"ABCA3_B",2
"ABCA4_B",3
"ABCA5_B",2
"ABCA6_B",3
"ABCA7_B",2
"ABCA8_B",3
"ABCA9-AS1_B",3
"ABCA9_B",3
"ABCB10_B",2
"ABCB11_B",3
"ABCB1_B",1
"ABCB4_B",1
"ABCB5_B",1
"ABCB6_B",2
"ABCB7_B",3
"ABCB8_B",2
"ABCB9_B",2
"ABCC10_B",2
"ABCC11_B",3
"ABCC12_B",1
"ABCC1_B",2
"ABCC2_B",3
"ABCC3_B",2
"ABCC4_B",2
"ABCC5-AS1_B",1
"ABCC5_B",2
"ABCC6_B",3
"ABCC8_B",3
"ABCC9_B",3
"ABCD1_B",2
"ABCD2_B",3
"ABCD3_B",3
"ABCD4_B",2
"ABCE1_B",2
"ABCF1_B",2
"ABCF2_B",2
"ABCF3_B",2
"ABCG1_B",3
"ABCG2_B",3
"ABCG4_B",2
"ABCG5_B",1
"ABCG8_B",2
"ABHD10_B",2
"ABHD11_B",2
"ABHD12B_B",2
"ABHD12_B",2
"ABHD13_B",2
"ABHD14B_B",2
"ABHD15_B",2
"ABHD16A_B",2
"ABHD16B_B",2
"ABHD17A_B",2
"ABHD17B_B",2
"ABHD17C_B",2
"ABHD18_B",3
"ABHD1_B",2
"ABHD2_B",2
"ABHD3_B",3
"ABHD4_B",2
"ABHD5_B",2
"ABHD6_B",2
"ABHD8_B",2
"ABI1_B",2
"ABI2_B",2
"ABI3BP_B",3
"ABI3_B",2
"ABL1_B",2
"ABL2_B",2
"ABLIM1_B",3
"ABLIM2_B",2
"ABLIM3_B",2
"ABO_B",2
"ABRACL_B",2
"ABRA_B",1
"ABR_B",2
"ABT1_B",2
"ABTB1_B",2
"ABTB2_B",1
"ACAA1_B",2
"ACAA2_B",2
"ACACA_B",2
"ACACB_B",3
"ACAD10_B",2
"ACAD11_B",2
"ACAD8_B",2
"ACAD9_B",2
"ACADL_B",3
"ACADM_B",2
"ACADSB_B",2
"ACADS_B",2
"ACADVL_B",2
"ACAN_B",2
"ACAP1_B",2
"ACAP2_B",2
"ACAP3_B",2
"ACAT1_B",2
"ACAT2_B",2
"ACBD3_B",2
"ACBD4_B",2
"ACBD5_B",2
"ACBD6_B",2
"ACBD7_B",2
"ACCSL_B",3
"ACCS_B",2
"ACD_B",2
"ACE2_B",1
"ACER1_B",2
"ACER2_B",2
"ACER3_B",2
"ACE_B",2
"ACHE_B",2
"ACIN1_B",2
"ACKR1_B",3
"ACKR2_B",3
"ACKR3_B",3
"ACKR4_B",3
"ACLY_B",2
"ACMSD_B",3
"ACO1_B",2
"ACO2_B",2
"ACOD1_B",1
"ACOT11_B",2
"ACOT12_B",2
"ACOT13_B",2
"ACOT1_B",3
"ACOT2_B",2
"ACOT4_B",2
"ACOT6_B",3
"ACOT7_B",2
"ACOT8_B",2
"ACOT9_B",2
"ACOX1_B",2
"ACOX2_B",2
"ACOX3_B",2
"ACOXL_B",3
"ACP1_B",2
"ACP2_B",2
"ACP5_B",2
"ACP6_B",2
"ACP7_B",1
"ACRBP_B",2
"ACRV1_B",1
"ACR_B",1
"ACSBG1_B",2
"ACSBG2_B",3
"ACSF2_B",2
"ACSF3_B",2
"ACSL1_B",3
"ACSL3_B",2
"ACSL4_B",2
"ACSL5_B",3
"ACSL6_B",2
"ACSM1_B",3
"ACSM2A_B",1
"ACSM2B_B",1
"ACSM3_B",3
"ACSM4_B",1
"ACSM5_B",3
"ACSM6_B",2
"ACSS1_B",2
"ACSS2_B",2
"ACSS3_B",3
"ACTA1_B",1
"ACTA2-AS1_B",1
"ACTA2_B",3
"ACTBL2_B",1
"ACTB_B",2
"ACTC1_B",2
"ACTG1P17_B",3
"ACTG1_B",2
"ACTG2_B",1
"ACTL6A_B",2
"ACTL6B_B",2
"ACTL7A_B",1
"ACTL7B_B",1
"ACTL8_B",1
"ACTL9_B",1
"ACTN1_B",2
"ACTN2_B",1
"ACTN3_B",2
"ACTN4_B",2
"ACTR10_B",2
"ACTR1A_B",2
"ACTR1B_B",2
"ACTR2_B",2
"ACTR3BP2_B",1
"ACTR3B_B",2
"ACTR3C_B",3
"ACTR3_B",2
"ACTR5_B",2
"ACTR6_B",2
"ACTR8_B",2
"ACTRT1_B",1
"ACTRT2_B",1
"ACTRT3_B",2
"ACVR1B_B",2
"ACVR1C_B",2
"ACVR1_B",3
"ACVR2A_B",2
"ACVR2B-AS1_B",2
"ACVR2B_B",2
"ACVRL1_B",2
"ACY1_B",2
"ACY3_B",2
"ACYP1_B",2
"ACYP2_B",3
"ADAD1_B",1
"ADAD2_B",1
"ADAL_B",2
"ADAM10_B",2
"ADAM11_B",2
"ADAM12_B",3
"ADAM15_B",2
"ADAM17_B",2
"ADAM18_B",1
"ADAM19_B",2
"ADAM20_B",1
"ADAM21P1_B",1
"ADAM21_B",3
"ADAM22_B",3
"ADAM23_B",2
"ADAM28_B",1
"ADAM29_B",1
"ADAM2_B",1
"ADAM30_B",1
"ADAM32_B",3
"ADAM33_B",2
"ADAM3A_B",1
"ADAM5_B",1
"ADAM7_B",1
"ADAM8_B",2
"ADAM9_B",2
"ADAMDEC1_B",1
"ADAMTS10_B",2
"ADAMTS12_B",3
"ADAMTS13_B",2
"ADAMTS14_B",3
"ADAMTS15_B",2
"ADAMTS16_B",2
"ADAMTS17_B",3
"ADAMTS18_B",1
"ADAMTS19-AS1_B",1
"ADAMTS19_B",3
"ADAMTS1_B",1
