"","x"
"ADAMTS3_B",2
"ADAMTS4_B",2
"ADAMTS5_B",3
"ADAMTS6_B",1
"ADAMTS7P1_B",3
"ADAMTS7_B",3
"ADAMTS8_B",3
"ADAMTS9-AS1_B",1
"ADAMTS9-AS2_B",3
"ADAMTS9_B",2
"ADAMTSL1_B",1
"ADAMTSL2_B",3
"ADAMTSL3_B",3
"ADAMTSL4_B",3
"ADAMTSL5_B",3
"ADAP1_B",3
"ADAP2_B",1
"ADARB1_B",1
"ADARB2-AS1_B",3
"ADARB2_B",3
"ADAR_B",1
"ADAT1_B",3
"ADAT2_B",1
"ADAT3_B",3
"ADA_B",3
"ADCK1_B",3
"ADCK2_B",3
"ADCK5_B",3
"ADCY10_B",1
"ADCY1_B",3
"ADCY2_B",3
"ADCY3_B",3
"ADCY4_B",3
"ADCY5_B",1
"ADCY6_B",3
"ADCY7_B",3
"ADCY8_B",3
"ADCY9_B",3
"ADCYAP1R1_B",3
"ADCYAP1_B",3
"ADD1_B",1
"ADD2_B",1
"ADD3-AS1_B",3
"ADD3_B",1
"ADGB_B",1
"ADGRA1_B",1
"ADGRA2_B",3
"ADGRA3_B",1
"ADGRB1_B",3
"ADGRB2_B",3
"ADGRB3_B",1
"ADGRD1_B",3
"ADGRD2_B",3
"ADGRE1_B",2
"ADGRE2_B",1
"ADGRE3_B",1
"ADGRE5_B",3
"ADGRF1_B",1
"ADGRF2_B",2
"ADGRF3_B",1
"ADGRF4_B",2
"ADGRF5_B",1
"ADGRG1_B",1
"ADGRG2_B",3
"ADGRG3_B",3
"ADGRG4_B",1
"ADGRG5_B",3
"ADGRG6_B",3
"ADGRG7_B",1
"ADGRL1_B",3
"ADGRL2_B",1
"ADGRL3_B",1
"ADGRL4_B",2
"ADGRV1_B",1
"ADH1A_B",1
"ADH1B_B",1
"ADH1C_B",1
"ADH4_B",1
"ADH5_B",3
"ADH6_B",1
"ADH7_B",1
"ADHFE1_B",3
"ADI1_B",1
"ADIG_B",3
"ADIPOQ-AS1_B",1
"ADIPOQ_B",1
"ADIPOR1_B",3
"ADIPOR2_B",3
"ADIRF_B",2
"ADK_B",1
"ADM2_B",3
"ADM5_B",3
"ADM_B",2
"ADNP-AS1_B",3
